task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1130	22/391b8f	47903	AncestralAllele (95)	COMPLETED	0	2024-06-12 23:25:05.023	1.7s	865ms	104.3%	11.5 MB	20.5 MB	6.7 MB	13.5 KB
1129	f7/8bc76b	47894	AncestralAllele (94)	COMPLETED	0	2024-06-12 23:25:04.929	1.9s	1s	106.2%	11.6 MB	20.2 MB	8.6 MB	13.6 KB
1131	b0/6cf561	47931	AncestralAllele (96)	COMPLETED	0	2024-06-12 23:25:06.771	1.8s	950ms	105.1%	11.4 MB	20 MB	6.7 MB	13.5 KB
1132	30/fc3d6c	47943	AncestralAllele (97)	COMPLETED	0	2024-06-12 23:25:06.836	1.9s	1s	105.2%	11.2 MB	19.9 MB	7.9 MB	13.6 KB
1134	f7/de12f3	47988	AncestralAllele (99)	COMPLETED	0	2024-06-12 23:25:08.774	1.8s	883ms	103.3%	11.6 MB	20.2 MB	6.7 MB	13.5 KB
1133	98/5a497d	47968	AncestralAllele (98)	COMPLETED	0	2024-06-12 23:25:08.577	2.1s	1s	102.8%	11.1 MB	19.8 MB	7.9 MB	13.8 KB
1135	5d/a26f68	48008	AncestralAllele (100)	COMPLETED	0	2024-06-12 23:25:10.599	1.8s	964ms	104.6%	11.6 MB	20.5 MB	7.9 MB	13.6 KB
1136	ec/414d4e	48016	AncestralAllele (101)	COMPLETED	0	2024-06-12 23:25:10.651	1.9s	936ms	103.7%	10.9 MB	19.6 MB	7.9 MB	13.8 KB
1138	a7/e7fa2f	48061	AncestralAllele (103)	COMPLETED	0	2024-06-12 23:25:12.539	1.8s	926ms	102.5%	11.6 MB	20.5 MB	6.7 MB	13.5 KB
1137	4a/c2ad04	48045	AncestralAllele (102)	COMPLETED	0	2024-06-12 23:25:12.451	2s	1s	105.3%	11.2 MB	20.2 MB	8.6 MB	13.7 KB
1140	f7/7b540a	48091	AncestralAllele (105)	COMPLETED	0	2024-06-12 23:25:14.405	1.8s	928ms	104.6%	11.4 MB	20.3 MB	6.7 MB	13.5 KB
1139	9a/e02147	48085	AncestralAllele (104)	COMPLETED	0	2024-06-12 23:25:14.391	1.9s	1s	103.2%	11.1 MB	19.8 MB	7.9 MB	13.9 KB
1141	df/cc30a0	48130	AncestralAllele (106)	COMPLETED	0	2024-06-12 23:25:16.213	1.7s	882ms	104.7%	11.9 MB	20.4 MB	6.7 MB	13.5 KB
1142	1a/9b9d53	48148	AncestralAllele (107)	COMPLETED	0	2024-06-12 23:25:16.320	1.8s	850ms	105.1%	11.5 MB	20.3 MB	6.7 MB	13.5 KB
1143	7b/ab59db	48168	AncestralAllele (108)	COMPLETED	0	2024-06-12 23:25:17.963	1.8s	930ms	103.8%	11.5 MB	20.2 MB	6.7 MB	13.5 KB
1144	42/46ec32	48184	AncestralAllele (109)	COMPLETED	0	2024-06-12 23:25:18.116	1.8s	895ms	104.6%	11.4 MB	19.9 MB	6.7 MB	13.5 KB
